TransactionID,Date,CustomerID,Age,Gender,ProductCategory,Amount,IsReturned,StoreLocation,FeedbackScore
TXN1001,2023-01-15,CUS501,34,F,Electronics,599.99,False,New York,4.5
TXN1002,2023-01-15,CUS502,,M,Clothing,45.50,True,Los Angeles,2.0
TXN1003,2023-01-16,CUS503,45,M,Home & Garden,120.00,False,Chicago,5.0
TXN1004,2023-01-17,CUS504,22,F,Electronics,199.99,False,New York,
TXN1005,2023-01-17,CUS505,38,Other,Clothing,89.90,False,Miami,4.8
TXN1006,2023-01-18,CUS506,55,F,Home & Garden,,False,Chicago,3.5
TXN1007,2023-01-19,CUS507,29,M,Electronics,899.00,True,Los Angeles,1.5
TXN1008,2023-01-20,CUS508,,F,Clothing,35.00,False,New York,4.0
TXN1009,2023-01-20,CUS509,41,M,Electronics,450.00,False,Miami,5.0
TXN1010,2023-01-21,CUS510,31,F,Home & Garden,65.50,False,Chicago,4.2
